Student_ID,Age,Gender,Study_Hours_Per_Day,Attendance_Percentage,Assignments_Completed,Sleep_Hours_Per_Day,Previous_Semester_Marks,Final_Marks,Grade
1001,20,Male,2.3,89.9,5,8.4,48.7,52.1,D
1002,21,Male,7.2,86,5,5.1,72.7,76.1,B
1003,19,Male,4.8,94,4,8.3,93.5,81.4,A
1004,21,Male,6.7,86.3,10,6.1,71.2,81.8,A
1005,21,Male,7.3,82.7,5,5.5,76.5,67.1,C
1006,18,Male,3.2,63.7,9,7.8,79.8,68.2,C
1007,19,Female,1.8,74.7,9,7.5,67.7,56.9,D
1008,19,Male,2.6,70.6,4,8.5,76.4,66,C
1009,19,Female,4,69.8,8,7.9,74.2,72.1,B
1010,21,Female,6.7,98.9,8,8.2,90.1,85.9,A
1011,20,Female,7,75.7,4,6.1,47.3,64.5,C
1012,19,Male,1,95.7,8,5.7,59,54.7,D
1013,22,Male,4.6,85.2,10,8,92.5,82.8,A
1014,21,Male,3.9,91.8,10,8.2,89.5,86.9,A
1015,18,Male,2.6,80.1,8,9,67.8,63.5,C
1016,20,Female,1.8,83.1,9,6.7,76,68.9,C
1017,22,Male,3.4,79.7,8,6.5,58.9,62.2,C
1018,22,Male,7.6,67.8,10,8.1,54.4,75.1,B
1019,18,Male,3.3,88.9,6,6.4,68.2,66.1,C
1020,20,Male,4.6,71.2,7,8.7,62.7,64.5,C
1021,21,Male,5.9,61,5,8.4,74.2,68.5,C
1022,17,Female,3.5,85.8,6,6.7,48.9,56.1,D
1023,20,Male,7.8,67.1,8,8,93.7,96.6,A+
1024,18,Female,7.7,97.6,9,8,94.3,95.6,A+
1025,22,Male,2.8,98.2,4,5.4,79.9,62.9,C
1026,21,Female,4.5,96.6,8,8.6,71.8,80.1,A
1027,20,Male,3.1,74.8,9,7,60.5,64.5,C
1028,17,Male,3,60.6,7,8.3,85.7,65.9,C
1029,17,Female,1.3,97.1,8,6.3,79.2,70.4,B
1030,19,Female,5.3,77.1,10,8.6,53.1,78.2,B
1031,19,Female,4.5,98.7,4,6.6,90.5,73.7,B
1032,18,Male,1.4,98.5,9,5,86.1,66.1,C
1033,20,Female,3,94.1,9,8.6,92.5,78.6,B
1034,20,Male,7.4,71.8,9,5.4,81.3,69.3,C
1035,22,Male,2.7,75.4,7,6.3,75.7,56.7,D
1036,22,Female,2,94,8,8.8,65.9,76,B
1037,22,Female,4.4,72.7,7,8.8,91.6,85,A
1038,19,Male,7.9,66.8,5,7.3,88.3,79.8,B
1039,20,Male,2.7,82.3,5,7.5,47.3,61.2,C
1040,20,Female,5.7,97.4,8,6.8,46.3,75.5,B
1041,17,Female,6.3,87.8,10,6.2,63.8,94.8,A+
1042,19,Female,2.7,82.8,7,6.3,85.5,74.2,B
1043,21,Male,6.1,63.9,4,7.7,94.4,74.8,B
1044,19,Male,3.6,84.6,9,8,52.5,63.8,C
1045,21,Male,5.4,99.6,9,8.2,74.7,75.9,B
1046,17,Male,5.4,65.6,8,8.2,64,72.6,B
1047,18,Male,4.8,80.7,10,5.4,93.5,75.2,B
1048,20,Male,1.6,95.1,5,7,87.1,60.1,C
1049,17,Female,6.8,89.6,5,5.2,86.9,76.5,B
1050,20,Male,3.2,87.9,9,7.2,68.4,65.5,C
